"Unidade de Saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"2264552 UNIDADE DE SAUDE JARDIM DAS PALMEIRAS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264560 UNIDADE DE SAUDE LAMI";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8"
"2264579 UNIDADE DE SAUDE MONTE CRISTO";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"2264587 UNIDADE DE SAUDE RESTINGA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264595 CLINICA DA FAMILIA TRISTEZA";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"9"
"2264609 UNIDADE DE SAUDE MACEDONIA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"7"
"2264617 UNIDADE DE SAUDE ASA BRANCA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264633 UNIDADE DE SAUDE NOVA BRASILIA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264641 UNIDADE DE SAUDE NOVA GLEBA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264676 UNIDADE DE SAUDE VILA ELIZABETH";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"2264684 UNIDADE DE SAUDE SARANDI";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"2264692 UNIDADE DE SAUDE SANTA ROSA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3"
"2264706 UNIDADE DE SAUDE RAMOS";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"2264714 UNIDADE DE SAUDE JENOR JARROS";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2264722 UNIDADE DE SAUDE ESMERALDA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264749 UNIDADE DE SAUDE PITINGA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264757 UNIDADE DE SAUDE VICOSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264765 UNIDADE DE SAUDE MATO SAMPAIO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264781 UNIDADE DE SAUDE VILA PINTO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264811 UNIDADE DE SAUDE VILA IPIRANGA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2264838 UNIDADE DE SAUDE SAO CARLOS";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2264846 UNIDADE DE SAUDE VILA JARDIM";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"7"
"2264854 UNIDADE DE SAUDE SAO CRISTOVAO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2264862 UNIDADE DE SAUDE RUBEM BERTA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4"
"2264870 UNIDADE DE SAUDE CHACARA DA FUMACA";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6"
"2264889 UNIDADE DE SAUDE VILA SAFIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2264897 UNIDADE DE SAUDE WENCESLAU FONTOURA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264935 UNIDADE DE SAUDE SANTA ANITA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264943 UNIDADE DE SAUDE ALTO ERECHIM";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2264951 UNIDADE DE SAUDE JARDIM CASCATA";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"6"
"2264986 CLINICA DA FAMILIA PRIMEIRO DE MAIO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2265001 UNIDADE DE SAUDE NONOAI";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"2265028 UNIDADE DE SAUDE ESTRADA DOS ALPES";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"2265036 UNIDADE DE SAUDE VILA CRUZEIRO";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5"
"2265044 UNIDADE DE SAUDE GLORIA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"2265079 UNIDADE DE SAUDE JARDIM ITU";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"2265087 UNIDADE DE SAUDE COSTA E SILVA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"2265109 UNIDADE DE SAUDE FLORESTA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"2265125 UNIDADE DE SAUDE JARDIM LEOPOLDINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"2265133 UNIDADE DE SAUDE SESC";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2265141 UNIDADE DE SAUDE BARAO DE BAGE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2265168 UNIDADE DE SAUDE CONCEICAO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"2265176 UNIDADE DE SAUDE SANTISSIMA TRINDADE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"2265192 UNIDADE DE SAUDE COINMA";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"2265206 UNIDADE DE SAUDE NOSSA SENHORA APARECIDA";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"7"
"2265214 UNIDADE DE SAUDE PASSO DAS PEDRAS I";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"8"
"2693437 UNIDADE DE SAUDE GUARUJA";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"2693801 ASSOCIACAO HOSPITALAR VILA NOVA";"22";"18";"545";"573";"718";"648";"620";"394";"432";"764";"1242";"688";"6664"
"3306453 UNIDADE DE SAUDE NOSSA SENHORA DAS GRACAS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"3321401 UNIDADE DE SAUDE SANTA MARIA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4"
"3321428 UNIDADE DE SAUDE SANTA FE";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"3437159 UNIDADE DE SAUDE MARIO QUINTANA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"5"
"3927997 UNIDADE DE SAUDE SANTO AGOSTINHO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"3979938 UNIDADE DE SAUDE DIVISA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"4060431 SAE MURIALDO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"5007518 UNIDADE DE SAUDE RINCAO";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"5377978 UNIDADE DE SAUDE ESPERANCA CORDEIRO";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
