"Unidade de Saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"2237822 HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS";"7";"12";"9";"13";"17";"18";"8";"9";"11";"9";"7";"7";"127"
"2693801 ASSOCIACAO HOSPITALAR VILA NOVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"8";"0";"48"
"Total";"7";"12";"9";"13";"17";"18";"8";"9";"11";"49";"15";"7";"175"
