"Unidade de saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"2237822-HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS";"21";"29";"15";"24";"38";"24";"31";"39";"33";"66";"40";"32";"392"
"6883303-CLINICA DA FAMILIA IAPI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"8006881-AMBULATORIO DE ESPECIALIDADES MURIALDO";"4";"4";"3";"2";"2";"3";"3";"0";"4";"2";"2";"4";"33"
"Ignorado";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"Total";"25";"33";"18";"26";"40";"27";"34";"39";"37";"69";"42";"37";"427"
